group,topic_id,topic_size,llm_model,llm_provider,label,cosine
D,20,6,qwen/qwen-2.5-7b-instruct,openai-compatible,electron trajectories,0.6578999757766724
D,21,5,qwen/qwen-2.5-7b-instruct,openai-compatible,rolling dice probability,0.801508903503418
D,23,5,qwen/qwen-2.5-7b-instruct,openai-compatible,webmail issues,0.4680914282798767
D,24,5,qwen/qwen-2.5-7b-instruct,openai-compatible,beta coefficients comparison,0.4770340025424957
D,26,5,qwen/qwen-2.5-7b-instruct,openai-compatible,pvalue adjustment,0.6909840703010559
D,27,5,qwen/qwen-2.5-7b-instruct,openai-compatible,study halt,0.8417590856552124
D,29,5,qwen/qwen-2.5-7b-instruct,openai-compatible,quiz feedback,0.21641510725021362
D,30,5,qwen/qwen-2.5-7b-instruct,openai-compatible,null hypothesis testing,0.41688892245292664
D,31,5,qwen/qwen-2.5-7b-instruct,openai-compatible,fitness performance,0.6656613945960999
D,32,5,qwen/qwen-2.5-7b-instruct,openai-compatible,choosing function,0.3721822500228882
D,33,5,qwen/qwen-2.5-7b-instruct,openai-compatible,frequency explanation,0.5788793563842773
D,34,5,qwen/qwen-2.5-7b-instruct,openai-compatible,survival probability,0.6701046824455261
D,35,5,qwen/qwen-2.5-7b-instruct,openai-compatible,search posts,0.5609975457191467
D,36,4,qwen/qwen-2.5-7b-instruct,openai-compatible,vaccine simulations,0.7772442102432251
D,37,4,qwen/qwen-2.5-7b-instruct,openai-compatible,mock data download,0.7379698157310486
D,38,4,qwen/qwen-2.5-7b-instruct,openai-compatible,module usage,0.64675372838974
D,39,4,qwen/qwen-2.5-7b-instruct,openai-compatible,fisher's exact test,0.6198127269744873
D,40,4,qwen/qwen-2.5-7b-instruct,openai-compatible,coin flip outcomes,0.6614334583282471
D,41,3,qwen/qwen-2.5-7b-instruct,openai-compatible,unit solutions download,0.6761775016784668
D,42,3,qwen/qwen-2.5-7b-instruct,openai-compatible,tense changes,0.35672399401664734
D,43,3,qwen/qwen-2.5-7b-instruct,openai-compatible,browser submission issues,0.4702329635620117
D,44,3,qwen/qwen-2.5-7b-instruct,openai-compatible,common sense checks,0.6248411536216736
D,45,3,qwen/qwen-2.5-7b-instruct,openai-compatible,square distance methods,0.5636969208717346
D,46,3,qwen/qwen-2.5-7b-instruct,openai-compatible,typos and language,0.6104515194892883
D,47,3,qwen/qwen-2.5-7b-instruct,openai-compatible,help needed,0.8454761505126953
D,49,3,qwen/qwen-2.5-7b-instruct,openai-compatible,raised nevi reporting,0.49389445781707764
D,50,3,qwen/qwen-2.5-7b-instruct,openai-compatible,dsst score improvement,0.5775014162063599
D,51,3,qwen/qwen-2.5-7b-instruct,openai-compatible,signrank test,0.5513793230056763
D,52,3,qwen/qwen-2.5-7b-instruct,openai-compatible,data analysis issues,0.443554162979126
D,53,3,qwen/qwen-2.5-7b-instruct,openai-compatible,cheating questions,0.4402012228965759
D,54,3,qwen/qwen-2.5-7b-instruct,openai-compatible,combinations permutations,0.48390594124794006
D,55,3,qwen/qwen-2.5-7b-instruct,openai-compatible,module doubts,0.320441871881485
D,56,3,qwen/qwen-2.5-7b-instruct,openai-compatible,act sequence,0.21525132656097412
D,57,3,qwen/qwen-2.5-7b-instruct,openai-compatible,exact vs chi-square,0.6347765922546387
D,59,3,qwen/qwen-2.5-7b-instruct,openai-compatible,missing data,0.4987041652202606
D,60,3,qwen/qwen-2.5-7b-instruct,openai-compatible,percentages decimals,0.6588180065155029
D,61,3,qwen/qwen-2.5-7b-instruct,openai-compatible,howcome answers,0.6612993478775024
D,62,3,qwen/qwen-2.5-7b-instruct,openai-compatible,paper clarity,0.46684303879737854
D,63,3,qwen/qwen-2.5-7b-instruct,openai-compatible,numerators and numbers,0.40843814611434937
D,65,2,qwen/qwen-2.5-7b-instruct,openai-compatible,predictive metrics,0.20920318365097046
D,66,2,qwen/qwen-2.5-7b-instruct,openai-compatible,neonatal malignant transformation,0.09651265293359756
D,67,2,qwen/qwen-2.5-7b-instruct,openai-compatible,wait bug,0.4697906970977783
D,68,2,qwen/qwen-2.5-7b-instruct,openai-compatible,standard normal chart,0.7349894046783447
D,69,2,qwen/qwen-2.5-7b-instruct,openai-compatible,journal article review,0.484441339969635
D,72,2,qwen/qwen-2.5-7b-instruct,openai-compatible,childhood conduct problems,0.5034555196762085
D,73,2,qwen/qwen-2.5-7b-instruct,openai-compatible,grading disputes,0.2851281464099884
D,74,2,qwen/qwen-2.5-7b-instruct,openai-compatible,solutions mismatch,0.5303377509117126
D,75,2,qwen/qwen-2.5-7b-instruct,openai-compatible,injury treatment,0.4779305160045624
D,76,2,qwen/qwen-2.5-7b-instruct,openai-compatible,statement accomplishment,0.6379656791687012
D,77,2,qwen/qwen-2.5-7b-instruct,openai-compatible,outliers in plots,0.5441652536392212
D,78,2,qwen/qwen-2.5-7b-instruct,openai-compatible,improvement forecasting,0.4461019039154053
D,79,2,qwen/qwen-2.5-7b-instruct,openai-compatible,download issues,0.5115151405334473
D,80,2,qwen/qwen-2.5-7b-instruct,openai-compatible,peer editing issues,0.39056214690208435
D,81,2,qwen/qwen-2.5-7b-instruct,openai-compatible,update references,0.3913634717464447
D,82,2,qwen/qwen-2.5-7b-instruct,openai-compatible,rescuetime uninstall,0.6368010640144348
D,83,2,qwen/qwen-2.5-7b-instruct,openai-compatible,pab calculation,0.6390939354896545
D,84,2,qwen/qwen-2.5-7b-instruct,openai-compatible,typo corrections,0.3837881088256836
D,85,2,qwen/qwen-2.5-7b-instruct,openai-compatible,section lecture help,0.6569631695747375
D,86,2,qwen/qwen-2.5-7b-instruct,openai-compatible,submit answers,0.5127801299095154
D,87,2,qwen/qwen-2.5-7b-instruct,openai-compatible,statistical inference,0.3963695168495178
D,88,2,qwen/qwen-2.5-7b-instruct,openai-compatible,linear regression assumptions,0.5819905400276184
D,89,2,qwen/qwen-2.5-7b-instruct,openai-compatible,week challenges,0.6432390213012695
D,91,2,qwen/qwen-2.5-7b-instruct,openai-compatible,module help,0.2659164071083069
D,92,2,qwen/qwen-2.5-7b-instruct,openai-compatible,blood sugar levels,0.3323245048522949
D,0,1893,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,peer grading issues,0.5594531297683716
D,2,20,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,email support issues,0.6902483701705933
D,8,9,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,person-years calculation,0.7722477316856384
D,10,9,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,case control study,0.37890762090682983
D,38,4,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,module repetition confusion,0.7697887420654297
D,43,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,browser submission issues,0.4702329635620117
D,55,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,ratios and units confusion,0.6342138648033142
D,58,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,platform compatibility issues,0.3711029589176178
D,60,3,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,answer format instructions,0.218001589179039
D,67,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,assignment wait issues,0.6838358044624329
D,77,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,outlier detection methods,0.43578338623046875
D,79,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,download issues,0.5115151405334473
D,81,2,qwen/qwen3-vl-30b-a3b-instruct,openai-compatible,textbook reference update,0.6618077158927917
