group,topic_id,topic_size,llm_model,llm_provider,prompt_option,label,cosine
D,71,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,health and climates,0.4383827745914459
D,72,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,childhood conduct,0.491413950920105
D,73,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,got zeroes really,0.7065818905830383
D,74,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,posted mistake solutions,0.6427181959152222
D,75,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,treat injuries,0.4067877531051636
D,76,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,statement accomplishment,0.6379656791687012
D,77,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,outlier detection,0.47128885984420776
D,78,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,skew results,0.437137633562088
D,79,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,download module,0.8279401659965515
D,80,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,text editing,0.5192035436630249
D,81,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,update textbook reference,0.6780176758766174
D,82,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,uninstall rescuetime,0.6275768876075745
D,83,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,pab independence,0.6613045334815979
D,84,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,odds ratios,0.4201713502407074
D,85,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,lecture hints,0.6011138558387756
D,86,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,submit answers,0.5127801299095154
D,87,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,statistical inference,0.3963695168495178
D,88,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,linear regression assumption,0.5904242396354675
D,89,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,week deadline,0.5958401560783386
D,90,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,rsquare analysis,0.5430503487586975
D,91,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,web page access,0.3340928852558136
D,92,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,blood sugar,0.25031036138534546
D,93,2,meta-llama/llama-3.1-8b-instruct,openai-compatible,3,discordant pairs,0.31689006090164185
